Codigo,Data_Inicio,Data_Fim,Ato_Legal,Numero,Ano,IBS,CBS
3028931,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028932,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028933,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028934,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028935,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028936,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028937,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028938,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
302894,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028941,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028942,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028943,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028944,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028945,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3029,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30291,01/04/2023,31/12/9999,Res Camex,440,2022,0.1,0.17
3029110,01/04/2023,31/12/9999,Res Camex,440,2022,0.1,0.17
3029190,01/04/2023,31/12/9999,Res Camex,440,2022,0.1,0.17
3029200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3029900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
303,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3031,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3031100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3031200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3031300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3031400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3031900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3032,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3032300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30324,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3032410,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3032490,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3032500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3032600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3032900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3033,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3033100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3033200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3033300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3033400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3033900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3034900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035700,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30359,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035910,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035920,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3035990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036700,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036800,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30369,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036910,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3036990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30381,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
303811,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038111,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038112,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038113,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038114,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038119,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038190,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30383,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
303831,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038311,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038319,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
303832,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038321,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038329,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30389,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038910,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038920,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
303893,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038932,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038933,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
303894,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3038941,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
